User Id,Sports,Religious,Nature,Theatre,Shopping,Picnic
User 207,16,132,94,178,109,120
User 208,20,93,183,178,89,140
User 209,16,137,104,173,109,130
User 210,18,153,74,114,188,129
User 211,18,128,114,168,124,124
User 212,22,114,228,119,99,168
User 213,22,178,89,114,203,139
User 214,18,173,84,99,193,158
User 215,20,168,89,124,183,129
User 216,18,83,198,163,84,140
User 217,22,144,173,134,173,149
User 218,18,198,64,89,203,153
User 219,20,114,208,114,119,168
User 220,18,114,183,114,109,178
User 221,18,114,173,183,128,124
User 222,18,128,134,188,89,124
User 223,18,143,154,129,129,178
User 224,18,128,163,173,133,130
User 225,18,148,99,139,168,129
User 226,18,83,218,163,74,140
User 227,22,120,168,158,144,133
User 228,22,203,99,104,223,173
User 229,18,143,139,119,139,203
User 230,22,153,144,139,144,193
User 231,18,147,144,129,149,144
User 232,18,188,74,109,213,168
User 233,25,158,154,154,154,153
User 234,25,104,208,168,134,144
User 235,25,139,153,193,158,134
User 236,25,84,247,168,109,140
User 237,25,173,89,124,233,158
User 238,8,93,119,99,89,138
User 239,22,124,168,208,148,124
User 240,18,114,158,178,158,124
User 241,20,188,94,94,223,153
User 242,25,114,238,124,104,178
User 243,18,94,188,148,99,139
User 244,25,129,318,94,89,188
User 245,18,139,148,129,129,168
User 246,22,114,228,104,84,168
User 247,20,124,178,104,158,174
User 248,20,133,149,139,144,213
User 249,20,143,149,139,159,143
