@relation Absenteeism_at_work_A

@attribute ID {31.0, 27.0, 19.0, 30.0, 7.0, 20.0, 24.0, 32.0, 3.0, 33.0, 26.0, 29.0, 18.0, 25.0, 17.0, 14.0, 16.0, 23.0, 2.0, 21.0, 36.0, 15.0, 22.0, 5.0, 12.0, 9.0, 6.0, 34.0, 10.0, 28.0, 13.0, 11.0, 1.0, 4.0, 8.0, 35.0}
@attribute Reason_for_absence {17.0, 3.0, 15.0, 4.0, 21.0, 2.0, 9.0, 24.0, 18.0, 1.0, 12.0, 5.0, 16.0, 7.0, 27.0, 25.0, 8.0, 10.0, 26.0, 19.0, 28.0, 6.0, 23.0, 22.0, 13.0, 14.0, 11.0, 0.0}
@attribute Month_of_absence REAL
@attribute Day_of_the_week {5.0, 2.0, 3.0, 4.0, 6.0}
@attribute Seasons {4.0, 1.0, 2.0, 3.0}
@attribute Transportation_expense REAL
@attribute Distance_from_Residence_to_Work REAL
@attribute Service_time INTEGER
@attribute Age INTEGER
@attribute Work_load_Average/day_ REAL
@attribute Hit_target REAL
@attribute Disciplinary_failure {1.0, 0.0}
@attribute Education REAL
@attribute Son REAL
@attribute Social_drinker {1.0, 0.0}
@attribute Social_smoker {1.0, 0.0}
@attribute Pet REAL
@attribute Weight REAL
@attribute Height REAL
@attribute Body_mass_index REAL
@attribute Absenteeism_time_in_hours REAL

@data
2.0, 18.0, 8.0, 2.0, 1.0, 235.0, 29.0, 12.0, 48.0, 205917.0, 92.0, 0.0, 1.0, 1.0, 0.0, 1.0, 5.0, 88.0, 163.0, 33.0, 8.0
3.0, 23.0, 8.0, 2.0, 1.0, 179.0, 51.0, 18.0, 38.0, 205917.0, 92.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 2.0
10.0, 23.0, 8.0, 2.0, 1.0, 361.0, 52.0, 3.0, 28.0, 205917.0, 92.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 80.0, 172.0, 27.0, 1.0
11.0, 24.0, 8.0, 3.0, 1.0, 289.0, 36.0, 13.0, 33.0, 205917.0, 92.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 90.0, 172.0, 30.0, 8.0
19.0, 11.0, 8.0, 5.0, 1.0, 291.0, 50.0, 12.0, 32.0, 205917.0, 92.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 65.0, 169.0, 23.0, 4.0
2.0, 28.0, 8.0, 6.0, 1.0, 235.0, 29.0, 12.0, 48.0, 205917.0, 92.0, 0.0, 1.0, 1.0, 0.0, 1.0, 5.0, 88.0, 163.0, 33.0, 8.0
20.0, 23.0, 8.0, 6.0, 1.0, 260.0, 50.0, 11.0, 36.0, 205917.0, 92.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 65.0, 168.0, 23.0, 4.0
27.0, 23.0, 9.0, 3.0, 1.0, 184.0, 42.0, 7.0, 27.0, 241476.0, 92.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 58.0, 167.0, 21.0, 2.0
34.0, 23.0, 9.0, 2.0, 1.0, 118.0, 10.0, 10.0, 37.0, 241476.0, 92.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 83.0, 172.0, 28.0, 4.0
3.0, 23.0, 9.0, 3.0, 1.0, 179.0, 51.0, 18.0, 38.0, 241476.0, 92.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 4.0
5.0, 19.0, 9.0, 3.0, 1.0, 235.0, 20.0, 13.0, 43.0, 241476.0, 92.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 106.0, 167.0, 38.0, 8.0
14.0, 23.0, 9.0, 4.0, 1.0, 155.0, 12.0, 14.0, 34.0, 241476.0, 92.0, 0.0, 1.0, 2.0, 1.0, 0.0, 0.0, 95.0, 196.0, 25.0, 2.0
34.0, 23.0, 9.0, 2.0, 1.0, 118.0, 10.0, 10.0, 37.0, 241476.0, 92.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 83.0, 172.0, 28.0, 3.0
3.0, 23.0, 9.0, 3.0, 1.0, 179.0, 51.0, 18.0, 38.0, 241476.0, 92.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 3.0
15.0, 23.0, 9.0, 5.0, 1.0, 291.0, 31.0, 12.0, 40.0, 241476.0, 92.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 73.0, 171.0, 25.0, 4.0
20.0, 22.0, 9.0, 6.0, 1.0, 260.0, 50.0, 11.0, 36.0, 241476.0, 92.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 65.0, 168.0, 23.0, 8.0
15.0, 14.0, 9.0, 2.0, 4.0, 291.0, 31.0, 12.0, 40.0, 241476.0, 92.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 73.0, 171.0, 25.0, 32.0
20.0, 0.0, 9.0, 2.0, 4.0, 260.0, 50.0, 11.0, 36.0, 241476.0, 92.0, 1.0, 1.0, 4.0, 1.0, 0.0, 0.0, 65.0, 168.0, 23.0, 0.0
29.0, 0.0, 9.0, 2.0, 4.0, 225.0, 26.0, 9.0, 28.0, 241476.0, 92.0, 1.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 0.0
28.0, 23.0, 9.0, 3.0, 4.0, 225.0, 26.0, 9.0, 28.0, 241476.0, 92.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 2.0
34.0, 23.0, 9.0, 3.0, 4.0, 118.0, 10.0, 10.0, 37.0, 241476.0, 92.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 83.0, 172.0, 28.0, 2.0
11.0, 0.0, 9.0, 3.0, 4.0, 289.0, 36.0, 13.0, 33.0, 241476.0, 92.0, 1.0, 1.0, 2.0, 1.0, 0.0, 1.0, 90.0, 172.0, 30.0, 0.0
36.0, 0.0, 9.0, 3.0, 4.0, 118.0, 13.0, 18.0, 50.0, 241476.0, 92.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 98.0, 178.0, 31.0, 0.0
28.0, 18.0, 9.0, 4.0, 4.0, 225.0, 26.0, 9.0, 28.0, 241476.0, 92.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 3.0
3.0, 23.0, 9.0, 4.0, 4.0, 179.0, 51.0, 18.0, 38.0, 241476.0, 92.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 3.0
13.0, 0.0, 9.0, 4.0, 4.0, 369.0, 17.0, 12.0, 31.0, 241476.0, 92.0, 1.0, 1.0, 3.0, 1.0, 0.0, 0.0, 70.0, 169.0, 25.0, 0.0
33.0, 23.0, 9.0, 6.0, 4.0, 248.0, 25.0, 14.0, 47.0, 241476.0, 92.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 86.0, 165.0, 32.0, 1.0
3.0, 23.0, 9.0, 6.0, 4.0, 179.0, 51.0, 18.0, 38.0, 241476.0, 92.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 3.0
20.0, 23.0, 9.0, 6.0, 4.0, 260.0, 50.0, 11.0, 36.0, 241476.0, 92.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 65.0, 168.0, 23.0, 4.0
3.0, 23.0, 10.0, 3.0, 4.0, 179.0, 51.0, 18.0, 38.0, 253465.0, 93.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 3.0
34.0, 23.0, 10.0, 3.0, 4.0, 118.0, 10.0, 10.0, 37.0, 253465.0, 93.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 83.0, 172.0, 28.0, 3.0
36.0, 0.0, 10.0, 4.0, 4.0, 118.0, 13.0, 18.0, 50.0, 253465.0, 93.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 98.0, 178.0, 31.0, 0.0
22.0, 23.0, 10.0, 5.0, 4.0, 179.0, 26.0, 9.0, 30.0, 253465.0, 93.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 56.0, 171.0, 19.0, 1.0
3.0, 23.0, 10.0, 6.0, 4.0, 179.0, 51.0, 18.0, 38.0, 253465.0, 93.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 3.0
28.0, 23.0, 10.0, 6.0, 4.0, 225.0, 26.0, 9.0, 28.0, 253465.0, 93.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 3.0
34.0, 23.0, 10.0, 3.0, 4.0, 118.0, 10.0, 10.0, 37.0, 253465.0, 93.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 83.0, 172.0, 28.0, 3.0
28.0, 23.0, 10.0, 4.0, 4.0, 225.0, 26.0, 9.0, 28.0, 253465.0, 93.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 2.0
33.0, 23.0, 10.0, 4.0, 4.0, 248.0, 25.0, 14.0, 47.0, 253465.0, 93.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 86.0, 165.0, 32.0, 2.0
15.0, 23.0, 10.0, 5.0, 4.0, 291.0, 31.0, 12.0, 40.0, 253465.0, 93.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 73.0, 171.0, 25.0, 5.0
3.0, 23.0, 10.0, 4.0, 4.0, 179.0, 51.0, 18.0, 38.0, 253465.0, 93.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 8.0
28.0, 23.0, 10.0, 4.0, 4.0, 225.0, 26.0, 9.0, 28.0, 253465.0, 93.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 3.0
20.0, 19.0, 10.0, 5.0, 4.0, 260.0, 50.0, 11.0, 36.0, 253465.0, 93.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 65.0, 168.0, 23.0, 16.0
15.0, 14.0, 10.0, 3.0, 4.0, 291.0, 31.0, 12.0, 40.0, 253465.0, 93.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 73.0, 171.0, 25.0, 8.0
28.0, 28.0, 10.0, 3.0, 4.0, 225.0, 26.0, 9.0, 28.0, 253465.0, 93.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 2.0
11.0, 26.0, 10.0, 4.0, 4.0, 289.0, 36.0, 13.0, 33.0, 253465.0, 93.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 90.0, 172.0, 30.0, 8.0
10.0, 23.0, 10.0, 6.0, 4.0, 361.0, 52.0, 3.0, 28.0, 253465.0, 93.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 80.0, 172.0, 27.0, 1.0
20.0, 28.0, 10.0, 6.0, 4.0, 260.0, 50.0, 11.0, 36.0, 253465.0, 93.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 65.0, 168.0, 23.0, 3.0
3.0, 23.0, 11.0, 5.0, 4.0, 179.0, 51.0, 18.0, 38.0, 306345.0, 93.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 1.0
28.0, 23.0, 11.0, 4.0, 4.0, 225.0, 26.0, 9.0, 28.0, 306345.0, 93.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 1.0
3.0, 13.0, 11.0, 5.0, 4.0, 179.0, 51.0, 18.0, 38.0, 306345.0, 93.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 89.0, 170.0, 31.0, 8.0
17.0, 21.0, 11.0, 5.0, 4.0, 179.0, 22.0, 17.0, 40.0, 306345.0, 93.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0, 63.0, 170.0, 22.0, 8.0
15.0, 23.0, 11.0, 5.0, 4.0, 291.0, 31.0, 12.0, 40.0, 306345.0, 93.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 73.0, 171.0, 25.0, 5.0
14.0, 10.0, 11.0, 2.0, 4.0, 155.0, 12.0, 14.0, 34.0, 306345.0, 93.0, 0.0, 1.0, 2.0, 1.0, 0.0, 0.0, 95.0, 196.0, 25.0, 32.0
6.0, 22.0, 11.0, 2.0, 4.0, 189.0, 29.0, 13.0, 33.0, 306345.0, 93.0, 0.0, 1.0, 2.0, 0.0, 0.0, 2.0, 69.0, 167.0, 25.0, 8.0
15.0, 14.0, 11.0, 2.0, 4.0, 291.0, 31.0, 12.0, 40.0, 306345.0, 93.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 73.0, 171.0, 25.0, 40.0
28.0, 23.0, 11.0, 4.0, 4.0, 225.0, 26.0, 9.0, 28.0, 306345.0, 93.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 1.0
14.0, 6.0, 11.0, 6.0, 4.0, 155.0, 12.0, 14.0, 34.0, 306345.0, 93.0, 0.0, 1.0, 2.0, 1.0, 0.0, 0.0, 95.0, 196.0, 25.0, 8.0
28.0, 23.0, 11.0, 4.0, 4.0, 225.0, 26.0, 9.0, 28.0, 306345.0, 93.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 3.0
17.0, 21.0, 11.0, 4.0, 4.0, 179.0, 22.0, 17.0, 40.0, 306345.0, 93.0, 0.0, 2.0, 2.0, 0.0, 1.0, 0.0, 63.0, 170.0, 22.0, 8.0
28.0, 13.0, 11.0, 6.0, 4.0, 225.0, 26.0, 9.0, 28.0, 306345.0, 93.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 3.0
20.0, 28.0, 11.0, 6.0, 4.0, 260.0, 50.0, 11.0, 36.0, 306345.0, 93.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 65.0, 168.0, 23.0, 4.0
33.0, 28.0, 11.0, 2.0, 4.0, 248.0, 25.0, 14.0, 47.0, 306345.0, 93.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 86.0, 165.0, 32.0, 1.0
28.0, 28.0, 11.0, 3.0, 4.0, 225.0, 26.0, 9.0, 28.0, 306345.0, 93.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 3.0
11.0, 7.0, 11.0, 4.0, 4.0, 289.0, 36.0, 13.0, 33.0, 306345.0, 93.0, 0.0, 1.0, 2.0, 1.0, 0.0, 1.0, 90.0, 172.0, 30.0, 24.0
15.0, 23.0, 11.0, 5.0, 4.0, 291.0, 31.0, 12.0, 40.0, 306345.0, 93.0, 0.0, 1.0, 1.0, 1.0, 0.0, 1.0, 73.0, 171.0, 25.0, 3.0
33.0, 23.0, 12.0, 3.0, 4.0, 248.0, 25.0, 14.0, 47.0, 261306.0, 97.0, 0.0, 1.0, 2.0, 0.0, 0.0, 1.0, 86.0, 165.0, 32.0, 1.0
34.0, 19.0, 12.0, 3.0, 4.0, 118.0, 10.0, 10.0, 37.0, 261306.0, 97.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 83.0, 172.0, 28.0, 64.0
36.0, 23.0, 12.0, 4.0, 4.0, 118.0, 13.0, 18.0, 50.0, 261306.0, 97.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 98.0, 178.0, 31.0, 2.0
1.0, 26.0, 12.0, 4.0, 4.0, 235.0, 11.0, 14.0, 37.0, 261306.0, 97.0, 0.0, 3.0, 1.0, 0.0, 0.0, 1.0, 88.0, 172.0, 29.0, 8.0
28.0, 23.0, 12.0, 5.0, 4.0, 225.0, 26.0, 9.0, 28.0, 261306.0, 97.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 2.0
20.0, 26.0, 12.0, 6.0, 4.0, 260.0, 50.0, 11.0, 36.0, 261306.0, 97.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 65.0, 168.0, 23.0, 8.0
34.0, 19.0, 12.0, 3.0, 4.0, 118.0, 10.0, 10.0, 37.0, 261306.0, 97.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 83.0, 172.0, 28.0, 56.0
10.0, 22.0, 12.0, 4.0, 4.0, 361.0, 52.0, 3.0, 28.0, 261306.0, 97.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 80.0, 172.0, 27.0, 8.0
28.0, 28.0, 12.0, 5.0, 4.0, 225.0, 26.0, 9.0, 28.0, 261306.0, 97.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 3.0
20.0, 28.0, 12.0, 6.0, 4.0, 260.0, 50.0, 11.0, 36.0, 261306.0, 97.0, 0.0, 1.0, 4.0, 1.0, 0.0, 0.0, 65.0, 168.0, 23.0, 3.0
28.0, 23.0, 12.0, 3.0, 4.0, 225.0, 26.0, 9.0, 28.0, 261306.0, 97.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 2.0
10.0, 22.0, 12.0, 4.0, 4.0, 361.0, 52.0, 3.0, 28.0, 261306.0, 97.0, 0.0, 1.0, 1.0, 1.0, 0.0, 4.0, 80.0, 172.0, 27.0, 8.0
34.0, 27.0, 12.0, 6.0, 4.0, 118.0, 10.0, 10.0, 37.0, 261306.0, 97.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 83.0, 172.0, 28.0, 2.0
24.0, 19.0, 12.0, 6.0, 2.0, 246.0, 25.0, 16.0, 41.0, 261306.0, 97.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 67.0, 170.0, 23.0, 8.0
28.0, 23.0, 12.0, 6.0, 2.0, 225.0, 26.0, 9.0, 28.0, 261306.0, 97.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 2.0
28.0, 23.0, 1.0, 4.0, 2.0, 225.0, 26.0, 9.0, 28.0, 308593.0, 95.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 1.0
34.0, 19.0, 1.0, 2.0, 2.0, 118.0, 10.0, 10.0, 37.0, 308593.0, 95.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 83.0, 172.0, 28.0, 1.0
34.0, 27.0, 1.0, 3.0, 2.0, 118.0, 10.0, 10.0, 37.0, 308593.0, 95.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 83.0, 172.0, 28.0, 1.0
14.0, 18.0, 1.0, 3.0, 2.0, 155.0, 12.0, 14.0, 34.0, 308593.0, 95.0, 0.0, 1.0, 2.0, 1.0, 0.0, 0.0, 95.0, 196.0, 25.0, 8.0
28.0, 27.0, 1.0, 4.0, 2.0, 225.0, 26.0, 9.0, 28.0, 308593.0, 95.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 2.0
27.0, 23.0, 1.0, 5.0, 2.0, 184.0, 42.0, 7.0, 27.0, 308593.0, 95.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 58.0, 167.0, 21.0, 2.0
28.0, 28.0, 1.0, 5.0, 2.0, 225.0, 26.0, 9.0, 28.0, 308593.0, 95.0, 0.0, 1.0, 1.0, 0.0, 0.0, 2.0, 69.0, 169.0, 24.0, 2.0
