description,title,job
"b'<div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs"">Temporary, Internship</div></div><div><p>Description:</p>\n<p>\nThe Data Analytics and Innovations Group at DOCOMO Innovations Inc. is seeking M.S./Ph.D. students in Computer Science, Engineering, or related, for a 12-week summer internship in AWS operation cost data analysis.</p>\n<p>\nRequired skills, experiences and education:</p>\n<p>\nCandidates for the position should have a solid background on machine learning, data analysis, and optimization theory. Experience with algorithm design in developing supervised and unsupervised learning models, in-depth concepts of statistics, and AWS, Linux, SSH, GitHub, SQL are highly desirable candidate attributes. The candidate should be strongly self-motivated, and also have strong analytical and synthesis skills and be proficient in Python programming</p>\n<p>\nNotes:</p>\n<p>\nStart/End dates: Flexible</p>\n<p>\nInternship length: 12 weeks, during spring and summer of 2019</p></div>'",Data Scientist Summer Internship,Data Scientist
"b'<div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-item ""><span class=""icl-u-xs-mr--xs"">$67,968 - $126,062 a year</span></div></div><div><div><div><p>As a Data Scientist for the CIA, you will organize and interpret data to inform US decision makers, drive successful operations and shape CIA technology and resource investments. Through CIA\'s global mission, the Agency has access to unique and highly specialized data sets. You will work with advanced hardware, software and techniques to develop computational algorithms and statistical methods that find patterns and relationships in large volumes of data. Data Scientists clearly communicate their conclusions to a diverse audience and become experts through Agency-sponsored continuing education, attendance at academic and technical conferences as well as collaboration with the Intelligence Community.\n</p><h5 class=""jobSectionHeader""><b>Offices of the CIA \xe2\x80\x93 Directorate of Digital Innovation</b></h5>\n<p>The Directorate of Digital Innovation (DDI) is at the forefront of defining the future of digital expertise within the CIA. DDI focuses on developing the workforce with cutting-edge skills, investing in IT infrastructure, and modernizing the way the Agency does business. DDI officers help accelerate the integration of innovative methods and tools to enhance the CIA\'s cyber and digital capabilities on a global scale and ultimately help safeguard our nation. Learn more about the Directorate of Digital Innovation.</p>\n<h5 class=""jobSectionHeader""><b>\nSee our work in action:</b></h5>\n<p></p><h5 class=""jobSectionHeader""><b>\nLife at CIA</b></h5>\n<p>In addition to a comprehensive benefits package, the CIA offers exciting career opportunities and a dynamic environment. We\'re on the forefront of world-altering events \xe2\x80\x93 as they happen. So working here isn\'t just a job, it\'s a mindset and a lifestyle.</p>\n</div><div>\n</div></div><div><div><p>US citizenship required (dual-national US citizens eligible). All positions require relocation to the Washington, DC metro area.</p>\n<h5 class=""jobSectionHeader""><b>\nMinimum Qualifications:</b></h5>\n<ul><li>Bachelor\'s degree</li>\n<li>Experience in a science, technology, engineering or mathematics (STEM) related field, such as:</li>\n<ul><li>Computational social science</li>\n<li>Computer science</li>\n<li>Data analytics</li>\n<li>Economics</li>\n<li>Engineering</li>\n<li>Geospatial analysis</li>\n<li>Mathematics</li>\n<li>Operations research</li>\n<li>Quantitative finance</li>\n<li>Statistics</li>\n</ul><li>GPA of at least 3.0 on a 4-point scale</li>\n<li>Experience with real world data through thesis research, internships, or work experience</li>\n<li>Creativity</li>\n<li>Initiative</li>\n<li>Integrity</li>\n<li>Leadership abilities</li>\n<li>Problem solving skills</li>\n<li>Ability to work in a diverse team environment</li>\n</ul><h5 class=""jobSectionHeader""><b>Desired Qualifications:</b></h5>\n<ul><li>Advanced degree in a data science equivalent field or sub-field</li>\n<li>Experience working with data rich problems through research or programs</li>\n<li>Experience with computer programming or user experience/user interface</li>\n<li>Ability to successfully complete projects with large or incomplete data and provide solutions</li>\n<li>Strong written and verbal communication skills</li>\n</ul><h5 class=""jobSectionHeader""><b>All applicants must successfully complete:</b></h5>\n<ul><li>A thorough medical and psychological exam</li>\n<li>A polygraph interview</li>\n<li>A comprehensive background investigation</li>\n</ul><p>To be considered suitable for Agency employment, applicants must generally not have used illegal drugs within the last 12 months. The issue of illegal drug use prior to 12 months ago is carefully evaluated during the medical and security processing.</p></div></div></div><p></p>'",Data Scientist,Data Scientist
"b'<div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs"">Temporary, Internship</div></div><div><p><b>Rifiniti</b> is a growth-stage SaaS solutions provider for commercial real-estate end-users. We integrate client data into our proprietary cloud-based data-warehouse, process it, and provide our clients with actionable workplace analytics.</p><p>\nWe have a dynamic team, consisting of data scientists, ETL, front- and back-end software developers, QA experts, and sales and support personnel. Our team is located in Boston, US, Sofia, Bulgaria, and Ukraine. We have a large and growing number of customers, all of whom are global companies with significant leased and owned office space portfolios for their operations.</p><p>\nOur data scientists work closely with our software engineers as well as a growing ecosystem of business partners and customers to build leading edge technologies in big data, machine learning, real time intelligence that scale the business.</p><p><b>\nResponsibilities</b></p><ul><li>\nContribute to implementation of highly scalable ETL infrastructures that collect, store and process large volumes of data daily.</li><li>\nLeverage machine learning techniques to discover hidden relationships in data</li><li>\nConduct statistical analyses to validate, or disprove, hypotheses about data</li></ul><p><b>\nRequirements</b></p><ul><li>\nWorking towards a masters degree (or above) in computer science, applied math or engineering</li><li>\nProficiency using Python, Jupyter and Spark</li><li>\nExperience with MySQL</li><li>\nExperience with AWS a plus</li><li>\nExcellent and written communication skills in English.</li><li>\nStrong teamwork and interpersonal skills</li></ul></div>'",Data Scientist (2019 Summer Intern),Data Scientist
"b'<div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs"">Internship</div></div><div><p><b>What you\'ll be doing...\n</b></p><p></p><p>As a Data Scientist Intern, you\xe2\x80\x99ll be embedded in to the heart of Tableau\xe2\x80\x99s development team helping the team better understand our customers and how we can improve our product(s) every day. To do this you will be ingesting, analyzing and engaging partners to make changes within Tableau Development team. You will be helping Tableau see and understand data.<br/>\n</p><p></p><p>Some of the things you\'ll be doing include\xe2\x80\xa6\n</p><ul><li>Leverage data from multiple source to solve technical challenges and improve the quality of Tableau.\n</li><li>B uild and maintain data pipelines which ingest, transform, and analyze data to enable Tableau to answer more questions with data.\n</li><li>Design and implement dashboards for key performance indicators.\n</li><li>Partner with teams on modeling, verification, quality, and analysis problems \xe2\x80\x93 from transforming problem statements into analysis problems, to working through data modeling and engineering, verification to quality, and to analysis and communication of results.<br/>\n</li></ul><p></p><p><b>Who you are\xe2\x80\xa6\n</b></p><ul><li><b>Learning. </b>Pursuing a BS or graduate degree in Information Science, Computer Science, or a Statistics-related field (e.g. econometrics, machine learning, mathematics, physics)\n</li><li><b>Technically Savvy </b>. Proficient in Python, SQL, or similar languages. Experienced with tools such as Hadoop, Snowflake, R, and Airflow would be ideal.\n</li><li><b>Communicator. </b>Experienced in using large data sets to help team members with different levels of understanding and expertise make data driven business decisions.\n</li><li><b>A True Team Player. </b>Demonstrated self-starter ability and experience with ambiguity and fast-moving teams.\n</li></ul><p></p><p>Tableau Software is an Equal Opportunity Employer.\n</p><p></p><p>Tableau Software is a company on a mission. We help people see and understand their data. After a highly successful IPO in 2013, Tableau has become a market-defining company in the business intelligence industry. Our culture is casual and high-energy. We are passionate about our product and our mission and we are loyal to each other and our company. We value work/life balance, efficiency, simplicity, freakishly friendly customer service, and making a difference in the world!</p></div>'",Data Scientist Intern,Data Scientist
"b""<div><p><b>Requisition ID:</b><br/>\nreq6316</p>\n<p><b>Job Title:</b><br/>\nData Scientist</p>\n<p><b>Number of Openings:</b><br/>\n6</p>\n<p><b>Job Category:</b><br/>\nProfessional/Technical\n</p><p><b>Employment Type:</b><br/>\nRegular Full-Time</p>\n<p><b>Shift:</b><br/>\nFirst</p>\n<p><b>Weekends:</b><br/>\nNot Required</p>\n<p><b>Location:</b><br/>\nDallas, TX, Phoenix, AZ and Bloomington, IL</p>\n<p><b>Duties and Responsibilities:</b><br/>\n</p><ul><li>Performs improved visual representation of data to allow clearer communication, viewer engagement and faster/better decision-making</li><li>\nInvestigates, recommends, and initiates acquisition of new data resources from internal and external sources</li><li>\nWorks with IT teams to support data collection, integration, and retention requirements based on business need</li><li>\nIdentifies critical and emerging technologies that will support and extend quantitative analytic capabilities</li><li>\nManages work efforts which require the use of sophisticated project planning techniques</li><li>\nApplies a wide application of complex principles, theories and concepts in a specific field to provide solutions to a wide range of difficult problems</li><li>\nDevelops and maintains an effective network of both scientific and business contacts/knowledge obtaining relevant information and intelligence around the market and emergent opportunities</li><li>\nContributes data to State Farm's internal and external publications, write articles for leading journals and participate in academic and industry conferences</li></ul>\n<ul><li>Collaborates with business subject matter experts to select relevant sources of information</li><li>\nDevelop breadth of knowledge in programming (R, Python), Descriptive, Inferential, and Experimental Design statistics, advanced mathematics, and database functionality (SQL, Hadoop)</li><li>\nDevelop expertise with multiple machine learning algorithms and data science techniques, such as exploratory data analysis, generative and discriminative predictive modeling, graph theory, recommender systems, text analytics, computer vision, deep learning, optimization and validation</li><li>\nDevelop expertise with State Farm datasets, data repositories, and data movement processes</li><li>\nAssists on projects/requests and may lead specific tasks within the project scope</li><li>\nPrepares and manipulates data for use in development of statistical models</li><li>\nDevelops fundamental understanding of insurance and financial services operations and uses this knowledge in decision making</li></ul><p></p>\n<p><b>Additional Details:</b><br/>\n</p><p>\nSpecial skills needed:</p><p>\nFor over 95 years, data has been key to State Farm. As a member of our data science team with the Enterprise Data &amp; Analytics department under our Chief Data &amp; Analytics Officer, you will work across the organization to solve business problems and help achieve business strategies. You will employ sophisticated, statistical approaches and state of the art technology. You will build and refine our tools/techniques and engage w/internal stakeholders across the organization to improve our products &amp; services.</p><p>\nImplementing solutions is critical for success. You will do problem identification, solution proposal &amp; presentation to a wide variety of management &amp; technical audiences. This challenging career requires you to work on multiple concurrent projects in a community setting, developing yourself and others, and advancing data science both at State Farm and externally.</p><p><b>\nS</b><b>kills &amp; Professional Experience</b></p><ul><li> Develop hypotheses, design experiments, and test feasibility of proposed actions to determine probable outcomes using a variety of tools &amp; technologies</li><li> Masters, other advanced degrees, or five years\xe2\x80\x99 experience in an analytical field such as data science quantitative marketing, statistics, operations research, management science, industrial engineering, economics, etc. or equivalent practical experience preferred.</li><li> Experience with SQL, Python, R, Java, SAS or MapReduce, SPARK</li><li> Experience with unstructured data sets: text analytics, image recognition etc.\n</li><li> Experience working w/numerous large data sets/data warehouses &amp; ability to pull from such data sets using relevant programs &amp; coding including files, RDBMS &amp; Hadoop based storage systems</li><li> Knowledge in machine learning methods including at least one of the following: Time series analysis, Hierarchical Bayes; or learning techniques such as Decision Trees, Boosting, Random Forests.</li><li> Excellent communication skills and the ability to manage multiple diverse stakeholders across businesses &amp; leadership levels.</li><li> Exercise sound judgment to diagnose &amp; resolve problems within area of expertise</li><li> Familiarity with CI/CD development methods, Git and Docker a plus</li></ul><p>\nMultiple location opportunity. Locations offered are: Bloomington, IL, Dallas, TX and Phoenix, AZ</p><p>\nRemote work option is not available.</p><br/>\n<p></p>\n#LI-MV1<p></p><p>\nMON18</p><p>\nSFARM</p><p>\nPM18</p></div><p></p>""",Data Scientist,Data Scientist
"b'<div><div>Data Scientist 2-190007JI<div></div><br/>\n<div>\n</div></div><div><b>\nPreferred Qualifications</b><div>\n</div><div>\nJoin a startup team at Oracle focused on building the centerpiece of our development intelligence platform. We are an exciting team building a critical telemetry platform that fundamentally changes how we make decisions. Our passionate team engages with business data and unlocks data-driven insights for engineers across Oracle. The development intelligence team is responsible for architecting, building, and operating a high-scale data platform the entire business uses every day.</div><div></div><br/>\n<div>\n</div><div>Do you love data? We have an exciting role for data science analysts with experience in reviewing, modeling data using large business data sets and turning this data into intelligence. The ideal candidate in this role has demonstrated data scientist skills who is always seeking to find the needle in the haystack and is excited by unique discoveries in large datasets. Using ninja-like data science skills, you use the data platform transforming it into an intelligent, engaging, insightful, business platform. You and engineers on the team are building connections to multiple data source across all of Oracle development, enabling key transforms required to view data across many dimensions. Our agile startup team is developing a v1 service that includes all layers of the stack.</div><div></div><br/>\n<div>\n</div><div>There is no better place to be in Oracle than our small, unique team. This role is uniquely positioned to make a significant impact on the Oracle products, services, and sustain businesses. Are you the missing piece to our puzzle? If yes, join our team today!</div><div></div><br/>\n<div>\n</div><div>Minimal Requirements</div>\n<div><ul><li><p>Bachelor\xe2\x80\x99s in mathematics, statistical analysis, computer science, or equivalent work experience</p></li><li><p>\n</p><p>2+ years of software development skills</p></li><li><p>\n</p><p>2+ years of data modeling in a business or educational environment</p></li></ul></div><div></div><br/>\n<div>\nPreferred Requirements</div><ul><li>\n<p>5+ demonstrated years experience working with analytical and machine learning technologies</p></li><li><p>\n</p><p>5+ years developing data solutions for complex matrixed organizations</p></li><li>\n<p>Experience building, testing, and deploying production services</p></li><li><p>\n</p><p>5+ years using Java, Python, or C++ for development\n</p></li><p></p><li><p>5+ years working in agile-based software development environments</p></li><li><p>\n</p><p>Intellectually curious about mining and analyzing data that drives business decisions</p></li><li><p>\n</p><p>Excellent communication skills and highly self-aware</p></li></ul><div><br/>\n</div></div><div><b>\nDetailed Description and Job Requirements</b><div>\n</div>\nDesigns, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse \xe2\x80\x9cbig data\xe2\x80\x9d sources to generate actionable insights and solutions for client services and product enhancement.<br/>\n<br/>\nInteracts with product and service teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers.<br/>\n<br/>\nDuties and tasks are standard with some variation. Completes own role largely independently within defined policies and procedures. 2 years relevant experience and BA/BS degree preferred.<br/>\n<br/>\n<b>Oracle is an Equal Employment Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability and protected veterans status or any other characteristic protected by law.</b></div></div><p></p>'",Data Scientist 2,Data Scientist
"b'<div><div><p>Business Unit Introduction:</p><br/>\n<p></p>\n<p>This position is in the Enterprise Digital and Analytics \xe2\x80\x93 Global Customer Data Science team and is responsible for driving positive value for the consumer base, our internal partners and shareholders through best-in-class data and decision science.</p><br/>\n<p></p>\n<p>The Team:</p>\n<p>Our team is the decision science team with emphasis on optimization, simulation, reinforcement learning, and Natural Language Processing (NLP). We are responsible for the innovation of the AMEX Chatbot module and the optimization layer of Orchestra, a cross-channel content delivery system.</p><br/>\n<p></p>\n<p>Responsibilities and Value Proposition:</p>\n<ul><li>applying rigorious data science and optimization techniques on digital advertising,</li>\n<li>helping our customer care professionals to reolve card members\' issues faster and more accurately by utilizing NLP techniques,</li>\n<li>collaborating with internal production teams to build and launch machine learning products,</li>\n<li>monitoring and delivering insightful analytics on model performances.</li><br/>\n</ul>\n<p></p><p>This role is ideal for someone who wants to develop a research &amp; development career in the digital payments space while learning and applying related machine learning techniques from data collection to advertisement distribution channels, including chatbot.</p><br/>\n</div><h4 class=""jobSectionHeader""><b>\nQualifications</b></h4><div><p>\nMinimum Qualifications:</p>\n<ul><li>Masters/PhD in Computer Science, Statistics, (Applied) Mathematics, and/or Operations Research.</li>\n<li>Strong fundamental knowledge of linear algebra and hypothesis testing.</li>\n<li>Extensive knowledge and practical experience on machine learning techniques including regression &amp; classification methods, boosting methods, and neural networks.</li>\n<li>Basic theoretical and algorithmic understanding of stochastic processes and statistical modeling, e.g. Dynamic Programming, Markov Decision Process, and Language Modeling.</li>\n<li>Proficient in Python (along with TensorFlow and/or PyTorch), Hive, and Spark.</li>\n<li>Independent contributor with strong interpersonal, communication, and writing skills.</li><br/>\n</ul><p></p><p>Ideal Candidate:</p>\n<ul><li>PhD with 1-2 years of practical experience in building machine learning production modules.</li>\n<li>Hands-on experience with ad-ranking and dialog management</li>\n<li>Prior experience on building interactive prototypes using Django and visualizing data using D3.js.</li></ul><br/>\n<p></p><p>Depending on factors such as business unit requirements, the nature of the position, cost and applicable laws, American Express may provide visa sponsorship for certain positions.</p><br/>\n<br/>\n</div><br/>\n<p></p>ReqID: 19004162<br/>\nSchedule (Full-Time/Part-Time): Full-time<br/>\nDate Posted: Mar 6, 2019, 5:17:25 PM</div>'",Data Scientist - Machine Learning,Data Scientist
"b'<div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-item ""><span class=""icl-u-xs-mr--xs"">$40 - $42 an hour</span></div><div class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs"">Part-time</div></div>Contractor Position - part time, can work remotely $40.- $42./hour depending on experience\n<br/>Alelo has an opening for a Junior Data Scientist, working with data from our learners and with machine learning tools to evaluate and improve the performance of our AI-driven learning products. This is an opportunity to gain experience in working with intelligent systems employing language technology, while helping make a difference in the way people learn.\n<br/>About Alelo\n<br/>Alelo creates learning solutions that help people acquire new skills and apply them when it counts, changing the way people communicate. Alelo\'s AI-driven learning products have made a difference with learners and have even saved lives. Alelo\'s cloud-based Enskill learning platform is currently being used in dozens of countries around the world by students who which to improve their spoken English communication skills. http://www.alelo.com\n<br/><br/>\n<b>As a Junior Data Scientist you will:</b><br/>\n<ul>\n<li>Review data. You will examine learner data and analytics from our natural language dialogue engine and interactive exercises to identify where AI upgrades are needed.</li>\n<li>Prepare data. You will select and prepare suitable data sets for analysis, training, and evaluation. Preparation may involve filtering as well as annotation by human raters.</li>\n<li>Train models. You will train or retrain models using the prepared data and machine learning algorithms.</li>\n<li>Evaluate models. You will evaluate the resulting models and test them with validation data sets, to measure improvements in performance.</li>\n</ul>\nBachelor\'s degree is required. Ideal candidates should have taken graduate-level courses in artificial intelligence and human-computer interaction, and should be familiar with tools such as Python and MongoDB and chatbot technologies. NLP experience preferred.'",Junior Data Scientist,Data Scientist
"b'<div><div>At Uber, we ignite opportunity by setting the world in motion. We take on big problems to help drivers, riders, delivery partners, and eaters get moving in more than 600 cities around the world.</div><div></div><br/>\n<div>\nWe welcome people from all backgrounds who seek the opportunity to help build a future where everyone and everything can move independently. If you have the curiosity, passion, and collaborative spirit, work with us, and let\xe2\x80\x99s move the world forward, together.</div>\n<div><b>About the Role</b></div><div></div><br/>\n<div>\nWe\xe2\x80\x99re looking for an experienced data scientist on our Marketing Data Science team to help optimize investment decisions for Uber\xe2\x80\x99s multi-million dollar marketing budget using cutting edge machine learning and statistical models. You will be responsible for developing actionable analytical solutions and productionizing models in a scalable manner to inform decisions across Uber\xe2\x80\x99s global marketing efforts, accelerating both demand and supply growth within Uber\xe2\x80\x99s 600+ cities worldwide! The right person for this role has a passion for driving impact by leveraging predictive modeling, machine learning, experimentation and technology to power decisions across our marketing organization.</div>\n<div><b>What You\xe2\x80\x99ll Do</b></div><div></div><br/>\n<ul><li>\nBuild production grade models on large-scale datasets to optimize marketing performance by utilizing advanced statistical modeling, machine learning, or data mining techniques.</li><li>\nLeverage models to address key growth challenges such as cross-channel spend allocation, response modeling, advertising partner quality measurement, customized content recommendation and ad serving.</li><li>\nBuild models to derive insights from current Uber\xe2\x80\x99s customers to improve communications, retention, engagement, LTV and develop methods for efficient targeting for prospecting customers at scale.</li><li>\nWork with cross-functional teams to implement and deploy models and enhance analytical solutions by providing data-driven recommendations.</li><li>\nLeverage large scale data processing such as Spark, Hive, and Uber\xe2\x80\x99s proprietary machine learning platform, and more.</li><li>\nCollaborate with marketing and finance leadership, design, product and engineering teams. Participate in project planning/prioritization meetings, stakeholder meeting, data prioritization meeting, etc.</li><li>\nTranslate data-driven learnings into actionable insights.</li></ul><div></div><br/>\n<div><b>\nWhat You\xe2\x80\x99ll Need</b></div><div></div><br/>\n<ul><li>\nMinimum of 1-3 years of experience as a data scientist at a company with global operations</li><li>\nExpertise with R and Python</li><li>\nExperience with machine learning techniques and advanced analytics (e.g. regression, classification, clustering, time series, econometrics, mathematical optimization).</li><li>\nAdvanced SQL skills - comfortable working with very large data sets.</li><li>\nExperience with big data using technologies like Hadoop, Hive, and Spark a plus.</li><li>\nPrevious experience in advertising tech is a plus</li><li>\nGreat communication skills, organized, able to multitask and be a team player</li><li>\nBalance attention to detail with swift execution\n</li><li>Hunger and drive to learn complex topics\n</li><li>Enthusiasm about Uber!</li></ul></div>'","Data Scientist - Machine Learning, AdTech",Data Scientist
"b""<b>Note:</b> By applying to this position your application is automatically submitted to the following locations: Mountain View, CA, USA; San Bruno, CA, USA; Seattle, WA, USA; San Francisco, CA, USA\n<br/><br/>\n<b>Minimum qualifications:</b><br/>\nMaster's degree in a quantitative discipline (e.g., Statistics, Operations Research, Bioinformatics, Economics, Computational Biology, Computer Science, Mathematics, Physics, Electrical Engineering, Industrial Engineering) or equivalent practical experience.\n<br/><br/>\n2 years of work experience in data analysis related field.\n<br/><br/>\nExperience with statistical software (e.g., R, Python, MATLAB, pandas) and database languages (e.g., SQL)\n<br/><br/>\n<b>Preferred qualifications:</b><br/>\nPhD degree in a quantitative discipline.\n<br/><br/>\n4 years of relevant work experience, including expertise with statistical data analysis such as linear models, multivariate analysis, stochastic models, sampling methods.\n<br/><br/>\nApplied experience with machine learning on large datasets.\n<br/><br/>\nExperience articulating and translating business questions and using statistical techniques to arrive at an answer using available data.\n<br/><br/>\nDemonstrated leadership and self-direction. Willingness to both teach others and learn new techniques.\n<br/><br/>\nDemonstrated skills in selecting the right statistical tools given a data analysis problem. Effective written and verbal communication skills.\n<br/>About the job\n<br/>As a Data Scientist, you will evaluate and improve Google's products. You will collaborate with a multi-disciplinary team of engineers and analysts on a wide range of problems. This position will bring scientific rigor and statistical methods to the challenges of product creation, development and improvement with an appreciation for the behaviors of the end user.\n<br/>Google is and always will be an engineering company. We hire people with a broad set of technical skills who are ready to take on some of technology's greatest challenges and make an impact on millions, if not billions, of users. At Google, data scientists not only revolutionize search, they routinely work on massive scalability and storage solutions, large-scale applications and entirely new platforms for developers around the world. From Google Ads to Chrome, Android to YouTube, Social to Local, Google engineers are changing the world one technological achievement after another. Responsibilities\n<br/><br/>\nWork with large, complex data sets. Solve difficult, non-routine analysis problems, applying advanced analytical methods as needed. Conduct analysis that includes data gathering and requirements specification, processing, analysis, ongoing deliverables, and presentations.\n<br/><br/>\nBuild and prototype analysis pipelines iteratively to provide insights at scale. Develop comprehensive knowledge of Google data structures and metrics, advocating for changes where needed for product development.\n<br/><br/>\nInteract cross-functionally, making business recommendations (e.g., cost-benefit, forecasting, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.\n<br/><br/>\nResearch and develop analysis, forecasting, and optimization methods to improve the quality of Google's user facing products.\n<br/>At Google, we don\xe2\x80\x99t just accept difference\xe2\x80\x94we celebrate it, we support it, and we thrive on it for the benefit of our employees, our products and our community. Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing this form .""","Data Scientist, Engineering",Data Scientist
"b'<div><p>Slack is looking for experienced data scientists to join our Business Technology Sales Analytics team and help drive the understanding, growth, and success of Slack. You should have deep technical skills and be comfortable working in an evolving data infrastructure to help us make data-informed decisions. You will be scrappy, independent, and passionate about having a big impact in a growing team.</p>\n<p>\nYou will partner closely with Sales Operations and Sales &amp; Customer Success Leadership to provide visibility into our data, find insights, craft narratives and build scalable solutions. Sales Analytics works closely with a group of cross-functional teams, such as Data Engineering &amp; Integrations, to transform massive amounts of data into data products and insights that enables the Sales organization to make better decisions, faster.</p>\n<p>\nSlack has a positive, diverse, and supportive culture\xe2\x80\x94we look for people who are curious, inventive, and work to be a little better every single day. In our work together we aim to be smart, humble, hardworking and, above all, collaborative. If this sounds like a good fit for you, why not say hello?</p>\n<p><b>\nWhat you will be doing</b></p>\n<ul>\n<li>Use data to inform and influence the direction of team roadmaps and inform business decisions</li>\n<li>Work with partner teams to define goals and identify metrics for improving sales and management effectiveness</li>\n<li>Deepen our understanding of customers and users to uncover new opportunities</li>\n<li>Craft data insights and narratives of Slack\xe2\x80\x99s value that can be scaled to the entire Sales organization</li>\n<li>Work closely with Data Engineering and IT to design and develop Sales data models that empower operational and exploratory analyses</li>\n</ul><p><b>What you should have</b></p>\n<ul>\n<li>3-5 years of professional industry experience doing quantitative analysis</li>\n<li>A proven track record of using analysis to impact key business decisions</li>\n<li>The ability to clearly and effectively communicate the results of complex analyses</li>\n<li>Experience running advanced analytics in a scripting language (Python, R, etc.)</li>\n<li>Experience in writing production datasets in SQL/Hive; experience working with Salesforce data a plus</li>\n<li>A solid grasp of basic statistical applications and methods (experimentation, probabilities, regression)</li>\n<li>Experience in software engineering, data engineering, consulting, or academic research a plus</li>\n</ul><p></p><p>Slack is a layer of the business technology stack that brings together people, data, and applications \xe2\x80\x93 a single place where people can effectively work together, find important information, and access hundreds of thousands of critical applications and services to do their best work. From global Fortune 100 companies to corner markets, businesses and teams of all kinds use Slack to bring the right people together with all the right information. Slack is headquartered in San Francisco, CA and has ten offices around the world. For more information on how Slack makes teams better connected, visit slack.com.</p><p>\nEnsuring a diverse and inclusive workplace where we learn from each other is core to Slack\xe2\x80\x99s values. We welcome people of different backgrounds, experiences, abilities and perspectives. We are an equal opportunity employer and a pleasant and supportive place to work.</p><p>\nCome do the best work of your life here at Slack.</p></div>'","Data Scientist, Sales",Data Scientist
"b'<div class=""jobsearch-JobMetadataHeader icl-u-xs-mb--md""><div class=""jobsearch-JobMetadataHeader-item icl-u-xs-mt--xs"">Internship</div></div><div><div><div><b>Who we are</b></div><div><i>\n</i></div><div>\nAt Criteo, we connect 1.5 billion active shoppers with the things they need and love. Our technology takes an algorithmic approach to predict what user we show an ad to, when, and for what products. Our dataset is about 50 petabytes in Hadoop (more than 120 TB extra per day) and we take less than 10ms to respond to an ad request. This is truly big data and machine learning without the buzzwords. If scale and complexity excite you, join us.</div></div>\n<div><div><h3 class=""jobSectionHeader""><b>What you\'ll do</b></h3><div><ul><li>\nYou will contribute to building and improving the precision of our prediction models (such as CTR/CR prediction or user engagement scoring), gather and analyze data to extract valuable information.</li><li>\nIn a team of 3-5, you will be working closely with your mentor to drive your project, design and ensure best practices are applied.</li><li>\nYou will participate in all knowledge sharing sessions/ workshops.</li><li>\nYou will gain a better understanding of the development cycle and work on real and impactful projects that are used by leading retailers and brands.</li><li>\nYou are encouraged to actively voice your ideas whilst learning how to build and ship quality prediction models into production which will likely affect millions of users instantly.</li><li>\nYou will work with and learn from talented engineers, with a diverse set of backgrounds.</li><li>\nYou will be working with Python, C#, java and/or Scala</li></ul></div></div></div>\n<div><div><h3 class=""jobSectionHeader""><b>What you\'ll bring</b></h3><div><ul><li>\nYou are in your final year of study in Software Engineering or related field.</li><li>\nYou are looking for a 6 month internship.</li><li>\nYou have experience in statistical analysis or feature engineering.</li><li>\nYou possess good knowledge of at least one programming language.</li><li>\nYou have a strong sense of ownership and a dislike for passing the buck.</li><li>\nYou are a problem solver, a fixer, and a creative technologist. We believe being an engineer is a talent and a passion, not just a skill.</li><li>\nYou are a strong communicator and a team player who can work efficiently with others.</li></ul></div></div></div>\n<div><div>At Criteo, we dare to be different. We believe that diversity fuels innovation and creates an energy that can be seen and felt all over Criteo. We champion different perspectives and are committed to creating a workplace where all Criteos are heard, feel a sense of belonging, and are treated with respect and dignity.</div><div><br/>\n</div><div>\nCriteo collects your personal data for the purposes of managing Criteo\'s recruitment related activities. Consequently, Criteo may use your personal data in relation to the evaluation and selection of applicants. Your information will be accessible to the different Criteo entities across the world. By clicking the ""Apply"" button you expressly give your consent.</div></div></div>'",Data Scientist Intern,Data Scientist
